SrcFile,Image,Page,Notes
DSC_1687,,,
DSC_1688,,,
DSC_1689,,,
DSC_1690,,,
DSC_1691,256r,,
DSC_1692,,,
DSC_1693,,,
DSC_1694,,,
DSC_1695,,,
DSC_1696,,,
DSC_1697,,,
DSC_1698,,,
DSC_1699,,,
DSC_1700,,,
DSC_1701,,,
DSC_1702,,,
DSC_1703,,,
DSC_1704,,,
DSC_1705,,,
DSC_1706,,,
DSC_1707,,,
DSC_1708,,,
DSC_1709,,,
DSC_1710,265r,,
DSC_1711,,,
DSC_1712,,,
DSC_1713,,,
DSC_1714,,,
DSC_1715,,,
DSC_1716,268r,,
DSC_1814,BEGINNING-ILIAD-5,,
DSC_1815,92r,,
DSC_1816,,,
DSC_1817,93r,,
DSC_1818,,,
DSC_1819,,,
DSC_1820,,,
DSC_1821,,,
DSC_1822,,,
DSC_1823,,,
DSC_1824,,,
DSC_1825,,,
DSC_1826,,,
DSC_1827,98r,,
DSC_1828,,,
DSC_1829,,,
DSC_1830,,,
DSC_1831,,,
DSC_1832,,,
DSC_1833,101r,,
DSC_1834,,,
DSC_1835,102r,,
DSC_1836,,,
DSC_1837,,,
DSC_1838,,,
DSC_1839,,,
DSC_1840,,,
DSC_1841,,,
DSC_1842,,,
DSC_1843,,,
DSC_1844,,,
DSC_1845,107r,,
DSC_1846,,,
DSC_1847,,,
DSC_1848,,,
DSC_1849,,,
DSC_1850,,,
DSC_1851,,,
DSC_1852,110r,,
DSC_1853,,,
DSC_1854,,,
DSC_1855,,,
DSC_1856,112r,,
DSC_1857,,,
DSC_1858,,,
DSC_1859,,,
DSC_1860,,,
DSC_1861,,,
DSC_1862,115r,,
DSC_1863,,,
DSC_1864,,,
DSC_1865,,,
DSC_1866,,,
DSC_1867,,,
DSC_1868,,,
DSC_1869,,,
DSC_1870,,,
DSC_1871,,,
DSC_1872,120r,,
DSC_1873,,,
DSC_1874,,,
DSC_1875,,,
DSC_1876,122r,,
DSC_1877,,,
DSC_1878,,,
DSC_1879,,,
DSC_1880,,,
DSC_1881,,,
DSC_1882,,,
DSC_1883,,,
DSC_1884,,,
DSC_1885,,,
DSC_1886,,,
DSC_1887,,,
DSC_1888,,,
DSC_1889,,,
DSC_1890,129r,,
DSC_1891,,,
DSC_1892,130r,,
DSC_1893,,,
DSC_1894,,,
DSC_1895,,,
DSC_1896,,,
DSC_1897,,,
DSC_1898,,,
DSC_1899,,,
DSC_1900,134r,,
DSC_1901,,,
DSC_1902,,,
DSC_1903,,,
DSC_1904,,,
DSC_1905,,,
DSC_1906,,,
DSC_1907,,,
DSC_1908,,,
DSC_1909,,,
DSC_1910,,,
DSC_1911,,,
DSC_1912,140r,,
DSC_1913,,,
DSC_1914,,,
DSC_1915,,,
DSC_1916,,,
DSC_1917,,,
DSC_1918,,,
DSC_1919,,,
DSC_1920,,,
DSC_1921,,,
DSC_1922,,,
DSC_1923,,,
DSC_1924,,,
DSC_1925,,,
DSC_1926,,,
DSC_1927,,,
DSC_1928,,,
DSC_1929,,,
DSC_1930,,,
DSC_1931,,,
DSC_1932,150r,,
DSC_1933,,,
DSC_1934,,,
DSC_1935,,,
DSC_1936,,,
DSC_1937,,,
DSC_1938,,,
DSC_1939,,,
DSC_1940,,,
DSC_1941,,,
DSC_1942,155r,,
DSC_1943,,,
DSC_1944,,,
DSC_1945,,,
DSC_1946,,,
DSC_1947,,,
DSC_1948,,,
DSC_1949,,,
DSC_1950,,,
DSC_1951,,,
DSC_1952,160r,,
DSC_1953,,,
DSC_1954,,,
DSC_1955,,,
DSC_1956,,,
DSC_1957,,,
DSC_1958,,,
DSC_1959,,,
DSC_1960,,,
DSC_1961,,,
DSC_1962,,,
DSC_1963,,,
DSC_1964,,,
DSC_1965,,,
DSC_1966,,,
DSC_1967,,,
DSC_1968,,,
